,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
979,980,2,2,2,1,3,5,1,2,3,Yes,Bisexual,1,1,1.0,175000
980,981,2,2,2,5,2,4,43,2,1,No,Straight / Heterosexual,4,1,0.0,53748
985,986,2,2,1,1,3,7,31,1,1,No,Straight / Heterosexual,4,1,2.0,74651
987,988,2,2,1,2,4,4,1,1,1,No,Straight / Heterosexual,1,1,2.0,195000
989,990,2,2,2,3,5,1,7,1,1,No,Straight / Heterosexual,1,1,3.0,157836
994,995,2,3,1,1,4,4,4,2,1,No,Straight / Heterosexual,4,1,2.0,238257
995,996,2,2,1,1,2,4,1,2,8,No,Straight / Heterosexual,4,1,1.0,160000
997,998,2,2,1,7,1,4,1,2,1,No,Bisexual,1,1,1.0,181000
1003,1004,2,2,1,2,3,8,4,1,1,No,Straight / Heterosexual,2,1,1.0,85315
1004,1005,2,2,1,2,4,4,12,1,1,No,Straight / Heterosexual,2,1,3.0,92136
1006,1007,2,2,2,5,2,5,1,2,1,No,Bisexual,1,1,1.0,180000
1007,1008,2,1,2,2,2,1,45,5,1,No,Straight / Heterosexual,2,1,0.0,13464
1009,1010,2,2,1,1,2,4,1,1,1,No,Straight / Heterosexual,1,1,1.0,230000
